Brand,Source,Published_Date,Combined_Text,Cleaned_Text,topic,topic_confidence,topic_group
Amazon India,The Irish Times,2026-03-14T06:00:00Z,"David McWilliams: Two Chinese companies, Shein and Temu, are undercutting retailers in every country If the Chinese juggernaut continues to make things better than Europeans, what is there for Europe to make?",david mcwilliams two chinese companies shein temu undercutting retailers every country chinese juggernaut continues make things better europeans europe make,technology,1.0,Innovation
Amazon India,Slashdot.org,2026-03-14T04:52:27Z,"Dubai news: ‘Evacuate the office?’ Standard Chartered responds to viral rumours in UAE emirate amid Iran - The Times of India Dubai news: ‘Evacuate the office?’ Standard Chartered responds to viral rumours in UAE emirate amid IranThe Times of India Citi Evacuates Three Buildings in U.A.E.WSJ Iran declares US-Israeli economic, banking interests in region are targetsAl Jazeera ‘Enemy …",dubai news evacuate office standard chartered responds viral rumours uae emirate amid iran times india dubai news evacuate office standard chartered responds viral rumours uae emirate amid iranthe times india citi evacuates three buildings uaewsj iran declares usisraeli economic banking interests region targetsal jazeera enemy,technology,1.0,Innovation
Amazon India,TheWrap,2026-03-13T16:29:28Z,"Amazon to Hike Prime Video’s Ad-Free Subscription Fee to $5 Per Month The increase on the newly named Prime Video Ultra tier will take effect on April 10
The post Amazon to Hike Prime Video’s Ad-Free Subscription Fee to $5 Per Month appeared first on TheWrap.",amazon hike prime videos adfree subscription fee per month increase newly named prime video ultra tier take effect april post amazon hike prime videos adfree subscription fee per month appeared first thewrap,other,0.8,Misc
Amazon India,The Times of India,2026-03-13T15:58:18Z,"Amazon Air expands to Northeast India India Business News: Mumbai: Amazon on Friday announced the expansion of Amazon Air to Northeast India with new air cargo routes connecting Kolkata and Guwahati, bolsterin.",amazon air expands northeast india india business news mumbai amazon friday announced expansion amazon air northeast india new air cargo routes connecting kolkata guwahati bolsterin,expansion,1.0,Growth
Amazon India,BusinessLine,2026-03-13T15:44:48Z,"‘Vibe coding’ faces scrutiny as AI-generated code risks slip into production AI-generated code risks hidden flaws in production, as seen in recent AWS outages, raising concerns about ""vibe coding"" practices.",vibe coding faces scrutiny aigenerated code risks slip production aigenerated code risks hidden flaws production seen recent aws outages raising concerns vibe coding practices,technology,1.0,Innovation
Amazon India,Variety,2026-03-13T14:45:00Z,"‘The Cycle of Love’ Director on Bringing to Screen the ‘Really Positive’ Story of Man Who Biked From India to Sweden for Love: ‘I Hope It Reminds Us That Most People Are Good’ Oscar-winning Brit documentarian Orlando von Einsiedel is best known for finding stories of hope and humanity in places of darkness and despair. There was “Virunga,” about the work of Congolese park rangers in the midst of a brutal rebellion, plus “The White …",cycle love director bringing screen really positive story man biked india sweden love hope reminds us people good oscarwinning brit documentarian orlando von einsiedel best known finding stories hope humanity places darkness despair virunga work congolese park rangers midst brutal rebellion plus white,technology,1.0,Innovation
Amazon India,The Times of India,2026-03-13T14:33:29Z,Amazon expands air cargo service to north east India The company will deploy its aircraft for order fulfilment as it continues to focus on reducing delivery timelines for Prime customers amid rising demand for faster deliveries. Amazon Prime is a paid subscription programme that offers quicker delivery and addi…,amazon expands air cargo service north east india company deploy aircraft order fulfilment continues focus reducing delivery timelines prime customers amid rising demand faster deliveries amazon prime paid subscription programme offers quicker delivery addi,discounts,1.0,Pricing Strategy
Amazon India,Dnyuz.com,2026-03-13T14:00:21Z,"Inside the Dirty, Dystopian World of AI Data Centers... Photographs by Landon Speers As we drove through southwest Memphis, KeShaun Pearson told me to keep my window down—our destination",inside dirty dystopian world ai data centers photographs landon speers drove southwest memphis keshaun pearson told keep window downour destination,technology,1.0,Innovation
Myntra,BusinessLine,2026-03-13T11:25:25Z,Swiggy and HDFC Bank Elevate Everyday and Travel Rewards with the Launch of Two New Co-branded Credit Cards Swiggy and HDFC Bank Elevate Everyday and Travel Rewards with the Launch of Two New Co-branded Credit Cards,swiggy hdfc bank elevate everyday travel rewards launch two new cobranded credit cards swiggy hdfc bank elevate everyday travel rewards launch two new cobranded credit cards,expansion,1.0,Growth
Myntra,GlobeNewswire,2026-03-11T15:37:00Z,"Gift Card Business and Investment Intelligence Report 2026: Market to Reach $865 Billion by 2030 - KPIs on Market Size, Retail & Corporate Spend, Competitive Landscape, and Consumer Demographics Key opportunities in the global gift card market include the integration of gift cards into digital wallets and payment platforms, the shift toward programmable spend tools for corporate and B2B gifting, the consolidation into closed-loop ecosystem strategies…",gift card business investment intelligence report market reach billion kpis market size retail corporate spend competitive landscape consumer demographics key opportunities global gift card market include integration gift cards digital wallets payment platforms shift toward programmable spend tools corporate bb gifting consolidation closedloop ecosystem strategies,funding,1.0,Finance
Myntra,BusinessLine,2026-03-11T14:25:09Z,"Malaika Arora launches lifestyle accessories brand Maejoy The brand has co-created with Exceed Entertainment and Myntra Jabong India Private Limited (MJIPL), the B2B wholesale entity of Myntra",malaika arora launches lifestyle accessories brand maejoy brand cocreated exceed entertainment myntra jabong india private limited mjipl bb wholesale entity myntra,discounts,1.0,Pricing Strategy
Myntra,The Times of India,2026-03-11T12:21:42Z,"Malaika Arora launches accessories brand ‘Maejoy’ in collaboration with Myntra Actress Malaika Arora has launched her lifestyle accessories brand, Maejoy, in collaboration with Exceed Entertainment and Myntra Jabong. The brand debuts with over 250 styles, including handbags and lab-grown diamond jewelry, aiming to offer accessible yet e…",malaika arora launches accessories brand maejoy collaboration myntra actress malaika arora launched lifestyle accessories brand maejoy collaboration exceed entertainment myntra jabong brand debuts styles including handbags labgrown diamond jewelry aiming offer accessible yet e,discounts,1.0,Pricing Strategy
Myntra,The Times of India,2026-03-11T07:36:07Z,"Walmart-backed Flipkart to invite banks for IPO pitch in April Flipkart IPO: Flipkart is moving towards a public listing. Banks will be invited to pitch for work on its potential initial public offering as soon as next month. The e-commerce giant, backed by Walmart, is gauging investor appetite for a listing in Mumbai. A…",walmartbacked flipkart invite banks ipo pitch april flipkart ipo flipkart moving towards public listing banks invited pitch work potential initial public offering soon next month ecommerce giant backed walmart gauging investor appetite listing mumbai,discounts,1.0,Pricing Strategy
Myntra,The Times of India,2026-03-11T07:36:07Z,"Walmart-backed Flipkart to invite banks for IPO pitch in April Flipkart IPO: Flipkart is moving towards a public listing. Banks will be invited to pitch for work on its potential initial public offering as soon as next month. The e-commerce giant, backed by Walmart, is gauging investor appetite for a listing in Mumbai. A…",walmartbacked flipkart invite banks ipo pitch april flipkart ipo flipkart moving towards public listing banks invited pitch work potential initial public offering soon next month ecommerce giant backed walmart gauging investor appetite listing mumbai,discounts,1.0,Pricing Strategy
Myntra,The Times of India,2026-03-09T14:31:37Z,"IPO-bound Flipkart shifts domicile to India IPO-bound Flipkart has shifted its domicile to India, having secured government nod for an internal restructuring that now makes Flipkart Internet the holding entity of the Group.",ipobound flipkart shifts domicile india ipobound flipkart shifted domicile india secured government nod internal restructuring makes flipkart internet holding entity group,regulation,1.0,Policy
Myntra,The Times of India,2026-03-09T13:26:13Z,"Flipkart flips back to India; Airtel's data centre play As it readies to hit the bourses, Flipkart has moved its domicile back from Singapore to India. This and more in today's ETtech Top 5.",flipkart flips back india airtels data centre play readies hit bourses flipkart moved domicile back singapore india todays ettech top,technology,1.0,Innovation
Myntra,BusinessLine,2026-03-09T13:05:08Z,"Flipkart completes reverse flip to India, clears path for domestic IPO Flipkart's reverse flip to India clears the way for a domestic IPO, marking a significant milestone for the e-commerce giant.",flipkart completes reverse flip india clears path domestic ipo flipkarts reverse flip india clears way domestic ipo marking significant milestone ecommerce giant,expansion,0.8,Growth
Myntra,BusinessLine,2026-03-09T07:28:24Z,"Swiggy, HDFC Bank launch two new co-branded credit cards with up to ₹48,000 annual savings Swiggy and HDFC Bank launch co-branded credit cards offering up to ₹48,000 annual savings, available via their digital platforms.",swiggy hdfc bank launch two new cobranded credit cards annual savings swiggy hdfc bank launch cobranded credit cards offering annual savings available via digital platforms,discounts,1.0,Pricing Strategy
Snapdeal,The Times of India,2026-02-19T06:40:57Z,"Laundry costlier than clothes! Snapdeal's Kunal Bahl shocked by hotel bill; says it’s time for quick commerce to step in Snapdeal co-founder Kunal Bahl highlighted hotels' disconnect with consumer expectations by sharing a Rs 5,900 laundry bill for seven basic garments. He questioned the high pricing, suggesting an opportunity for quick commerce laundry start-ups to cater to ev…",laundry costlier clothes snapdeals kunal bahl shocked hotel bill says time quick commerce step snapdeal cofounder kunal bahl highlighted hotels disconnect consumer expectations sharing rs laundry bill seven basic garments questioned high pricing suggesting opportunity quick commerce laundry startups cater ev,discounts,1.0,Pricing Strategy
Snapdeal,Business Standard,2026-02-16T10:39:49Z,"CCPA fines Snapdeal ₹5 lakh for selling toys violating BIS standards The Central Consumer Protection Authority (CCPA) has imposed a penalty of Rs 5 lakh on e-commerce platform Snapdeal for selling toys that do not comply with mandatory Bureau of Indian Standards certification, violating the Toys (Quality Control) Order, 2020.
…",ccpa fines snapdeal lakh selling toys violating bis standards central consumer protection authority ccpa imposed penalty rs lakh ecommerce platform snapdeal selling toys comply mandatory bureau indian standards certification violating toys quality control order,discounts,1.0,Pricing Strategy
Snapdeal,BusinessLine,2026-02-16T10:21:05Z,"Snapdeal fined ₹5 lakh for selling toys violating BIS standards: CCPA Snapdeal fined ₹5 lakh by CCPA for selling non-compliant toys, facing scrutiny alongside Amazon and Flipkart for BIS violations.",snapdeal fined lakh selling toys violating bis standards ccpa snapdeal fined lakh ccpa selling noncompliant toys facing scrutiny alongside amazon flipkart bis violations,discounts,1.0,Pricing Strategy
Meesho,The Times of India,2026-03-13T16:51:42Z,"Y Combinator brings Startup School to India; here is what it means for your startup Launched in 2017 by Y Combinator, one of the world’s most influential startup accelerators and early-stage VC firms, Startup School is a free online course that offers personalised coaching and lectures for aspiring founders. The India leg of the school will …",combinator brings startup school india means startup launched combinator one worlds influential startup accelerators earlystage vc firms startup school free online course offers personalised coaching lectures aspiring founders india leg school,discounts,1.0,Pricing Strategy
Meesho,The Times of India,2026-03-12T12:18:21Z,"Accel set to lead $12 million round in AI fintech Oolka The round comes on the back of a $7 million infusion led by Lightspeed and Z47 last September. The company counts Livspace founder Ramakant Sharma, Meesho’s Vidit Aatrey, and Blackbuck’s Rajesh Yabaji as angel investors.",accel set lead million round ai fintech oolka round comes back million infusion led lightspeed z last september company counts livspace founder ramakant sharma meeshos vidit aatrey blackbucks rajesh yabaji angel investors,technology,1.0,Innovation
Meesho,The Times of India,2026-03-12T10:56:44Z,"IAMAI urges Karnataka to defer gig worker welfare fee on ecomm firms till specifics are defined Per the Karnataka Platform-based Gig Workers (Social Security & Welfare) Act, 2025, ecommerce operators are required to pay 1% of their commission, subject to a cap, to fund gig workers’ welfare.",iamai urges karnataka defer gig worker welfare fee ecomm firms till specifics defined per karnataka platformbased gig workers social security welfare act ecommerce operators required pay commission subject cap fund gig workers welfare,technology,1.0,Innovation
Meesho,BusinessLine,2026-03-09T13:05:08Z,"Flipkart completes reverse flip to India, clears path for domestic IPO Flipkart's reverse flip to India clears the way for a domestic IPO, marking a significant milestone for the e-commerce giant.",flipkart completes reverse flip india clears path domestic ipo flipkarts reverse flip india clears way domestic ipo marking significant milestone ecommerce giant,expansion,0.8,Growth
Meesho,The Times of India,2026-03-09T09:03:34Z,"Meesho shares plunge 10% on Rs 1,500 crore tax demand; down 44% from Dec high Shares of Meesho fell 10% to hit the lower circuit after the company revealed a Rs 1,500-crore tax demand from the Income Tax Department, nearly half of its Q3 operating revenue. The demand relates to the 2023-24 assessment year. Meesho said it disagrees with…",meesho shares plunge rs crore tax demand dec high shares meesho fell hit lower circuit company revealed rs crore tax demand income tax department nearly half q operating revenue demand relates assessment year meesho said disagrees,regulation,1.0,Policy
Meesho,BusinessLine,2026-03-09T01:50:41Z,"24 stocks in focus today: Tata Power, UltraTech Cement, Go Digit, RailTel, Lupin, Cipla, GAIL & more Explore today’s stock market highlights featuring Tata Power, UltraTech Cement, RailTel, and major developments in various industries",stocks focus today tata power ultratech cement go digit railtel lupin cipla gail explore todays stock market highlights featuring tata power ultratech cement railtel major developments various industries,technology,1.0,Innovation
Meesho,BusinessLine,2026-03-07T13:58:46Z,"Meesho receives ₹1,500 crore income tax demand for FY23; plans to challenge order According to the filing, the Assessment Unit of the Income Tax Department issued an assessment order under Section 143(3) of the Income-tax Act, 1961, along with a demand notice under Section 156",meesho receives crore income tax demand fy plans challenge order according filing assessment unit income tax department issued assessment order section incometax act along demand notice section,customer_complaints,1.0,Customer Experience
Meesho,The Times of India,2026-03-07T07:22:57Z,"Meesho gets Rs 1,500 crore tax demand for alleged under-reporting of income Large tax disputes for ecommerce marketplaces usually arise from certain recurring issues, such as companies treating customer discounts and incentives as business expenses, thereby reducing taxable profits. In certain earlier cases, the tax authorities have …",meesho gets rs crore tax demand alleged underreporting income large tax disputes ecommerce marketplaces usually arise certain recurring issues companies treating customer discounts incentives business expenses thereby reducing taxable profits certain earlier cases tax authorities,discounts,1.0,Pricing Strategy
Meesho,The Times of India,2026-03-07T07:22:57Z,"Meesho gets Rs 1,500 crore tax notice from I-T department According to the Bengaluru-based ecommerce company, the demand arises from an assessment order under Section 143(3) of the Income Tax Act, along with a notice under Section 156, taking the total to Rs 1,499.7 crore, including interest. A similar demand had be…",meesho gets rs crore tax notice department according bengalurubased ecommerce company demand arises assessment order section income tax act along notice section taking total rs crore including interest similar demand,regulation,1.0,Policy
Meesho,BusinessLine,2026-03-02T07:13:48Z,"Amazon India expands zero referral fee to sub-₹1,000 products Referral fees — commissions charged on each item sold, typically ranging between 2% and 16.5% — were waived last year for products priced below ₹300",amazon india expands zero referral fee sub products referral fees commissions charged item sold typically ranging waived last year products priced,technology,1.0,Innovation
Ajio,The Drum,2026-03-05T02:37:32Z,"Judge of the Day: Marketing must own the P&L, says Arpan Biswas Judge of the Day: Marketing must own the P&L, says Arpan Biswasthedrum.com",judge day marketing must pl says arpan biswas judge day marketing must pl says arpan biswasthedrumcom,other,0.8,Misc
Ajio,GlobeNewswire,2026-02-24T16:06:00Z,"Luxury Fashion Market Report Forecast and Company Analysis 2025-2033 Featuring Kering, Burberry, Dolce & Gabbana,. Giorgio Armani, Capri, LVMH, Prada, Chanel, Diesel, Industria de Diseno Textil The global luxury fashion market is set for substantial growth, expanding from $257.45 billion in 2025 to $337.18 billion by 2033, at a CAGR of 3.43%. Factors propelling this growth include rising disposable incomes, changing consumer behaviors, and heightene…",luxury fashion market report forecast company analysis featuring kering burberry dolce gabbana giorgio armani capri lvmh prada chanel diesel industria de diseno textil global luxury fashion market set substantial growth expanding billion billion cagr factors propelling growth include rising disposable incomes changing consumer behaviors heightene,other,0.8,Misc
Ajio,The Times of India,2026-02-24T02:01:33Z,"Fractal Industries shares to list today. Check GMP ahead of debut Fractal Industries is poised for its BSE SME debut with modest listing gains expected around 3%. The Rs 49 crore IPO, fully subscribed 5.44 times, will fund working capital and corporate needs.  The garment manufacturer, serving major e-commerce platforms, re…",fractal industries shares list today check gmp ahead debut fractal industries poised bse sme debut modest listing gains expected around rs crore ipo fully subscribed times fund working capital corporate needs garment manufacturer serving major ecommerce platforms,funding,1.0,Finance
Ajio,The Times of India,2026-02-16T02:01:20Z,"Fractal Industries IPO opens today. Check GMP, price band, subscription and other details At the upper band of Rs 216, the IPO is commanding a pre-issue market cap of around Rs 169.5 crore. Shares are proposed to be listed on the BSE SME platform on February 23. The IPO is entirely a fresh issue of 22.68 lakh shares aggregating to Rs 49 crore. The…",fractal industries ipo opens today check gmp price band subscription details upper band rs ipo commanding preissue market cap around rs crore shares proposed listed bse sme platform february ipo entirely fresh issue lakh shares aggregating rs crore,customer_complaints,1.0,Customer Experience
BigBasket,BusinessLine,2026-03-13T09:04:03Z,"bl.Interviews: Dr Shyam Mohan, Managing Director, Motoray Mobility The Tata Punch EV is put through its paces on the streets of Kochi while also exploring the city’s unique Kochi Water Metro. The 2026 Punch EV offers an ARAI-certified range of around 460 km, and this drive looks at how the car performs in city conditions — f…",blinterviews dr shyam mohan managing director motoray mobility tata punch ev put paces streets kochi also exploring citys unique kochi water metro punch ev offers araicertified range around km drive looks car performs city conditions f,discounts,1.0,Pricing Strategy
BigBasket,The Times of India,2026-03-13T00:30:00Z,"Flipkart, Amazon expand dark stores as profit check slows quick commerce majors The quick-commerce foray of Flipkart and Amazon appears to have coincided with the profitability check at pioneers in this space -Swiggy and IPO-bound Zepto – and amid a broader debate over employment conditions in the last-mile, instant delivery revenue stre…",flipkart amazon expand dark stores profit check slows quick commerce majors quickcommerce foray flipkart amazon appears coincided profitability check pioneers space swiggy ipobound zepto amid broader debate employment conditions lastmile instant delivery revenue stre,logistics,1.0,Operations
BigBasket,The Times of India,2026-03-12T00:30:00Z,Easing China FDI norms unlikely to unlock fast capital for startups The government's move is expected to speed up dealmaking for global venture funds with limited Chinese capital in their investor base. It could also make it easier for venture capital and private equity firms to raise money from Chinese limited partners (LPs)…,easing china fdi norms unlikely unlock fast capital startups governments move expected speed dealmaking global venture funds limited chinese capital investor base could also make easier venture capital private equity firms raise money chinese limited partners lps,discounts,1.0,Pricing Strategy
BigBasket,The Times of India,2026-03-10T13:56:52Z,"Qcomm sees brisk sale of induction stoves as people panic over LPG shortage Eternal-owned Blinkit is offering discounts of up to 72% on cooktops; most products are already out of stock and only limited options are still available. Similarly, Instamart is offering discounts of up to 60% on hobs, and some products are already sold out.…",qcomm sees brisk sale induction stoves people panic lpg shortage eternalowned blinkit offering discounts cooktops products already stock limited options still available similarly instamart offering discounts hobs products already sold,discounts,1.0,Pricing Strategy
BigBasket,Livefromalounge.com,2026-03-10T04:35:54Z,"Axis Bank’s Airtel Credit Card Devalued: Lounge Access Removed, Cashback Structure Reworked from April 2026 The Airtel Axis Bank Credit Card has been sharply restructured, because all the benefits now depend on how much you spend on the card. Here are the details. 
The post Axis Bank’s Airtel Credit Card Devalued: Lounge Access Removed, Cashback Structure Reworked …",axis banks airtel credit card devalued lounge access removed cashback structure reworked april airtel axis bank credit card sharply restructured benefits depend much spend card details post axis banks airtel credit card devalued lounge access removed cashback structure reworked,technology,1.0,Innovation
BigBasket,The Times of India,2026-03-09T01:36:21Z,Gulf crisis weighs on hyperscalers; Instahelp faces investor reckoning Happy Monday! Hyperscalers are seeking a safe haven for data centre ops outside of West Asia. This and more in today’s ETtech Morning Dispatch.,gulf crisis weighs hyperscalers instahelp faces investor reckoning happy monday hyperscalers seeking safe data centre ops outside west asia todays ettech morning dispatch,other,0.8,Misc
BigBasket,The Times of India,2026-03-09T00:30:00Z,"T20 final, Women’s Day drive sales for quick commerce, food delivery apps Zomato started a three-day weekend offer for the match beginning on Friday, while Swiggy launched a 'Rs 75 cash back' offer and 'predict and win' games for Sunday. Quick commerce apps like Zepto, Amazon Now, Blinkit, Instamart, BigBasket and Flipkart Minutes …",final womens day drive sales quick commerce food delivery apps zomato started threeday weekend offer match beginning friday swiggy launched rs cash back offer predict win games sunday quick commerce apps like zepto amazon blinkit instamart bigbasket flipkart minutes,discounts,1.0,Pricing Strategy
BigBasket,The Times of India,2026-03-08T15:13:26Z,"Meet Muhammad Aziz, the bank official feeding hundreds daily outside Hyderabad’s NIMS hospital Muhammad Aziz, a bank official, has been a beacon of hope for the needy for nearly ten years. He distributes hundreds of food packets daily outside NIMS Hospital in Hyderabad. What began as a small effort with his mother has blossomed into a large-scale opera…",meet muhammad aziz bank official feeding hundreds daily outside hyderabads nims hospital muhammad aziz bank official beacon hope needy nearly ten years distributes hundreds food packets daily outside nims hospital hyderabad began small effort mother blossomed largescale opera,technology,1.0,Innovation
BigBasket,Livemint,2026-03-08T11:30:27Z,"Data, design and dosa batter: How Instamart is turning your 10-min craving into a private label empire Private labels are usually invisible and price-led. But Swiggy Instamart wants them to be visible and aspirational. By blending hyperlocal data with bold design, Swiggy’s Instamart is trying to build an FMCG food and beverages brand within its delivery app ec…",data design dosa batter instamart turning min craving private label empire private labels usually invisible priceled swiggy instamart wants visible aspirational blending hyperlocal data bold design swiggys instamart trying build fmcg food beverages brand within delivery app ec,logistics,1.0,Operations
BigBasket,The Times of India,2026-03-08T09:55:08Z,"iPhone 16 pro, iPhone 16 Plus and iPhone 16 available at up to Rs 18,000 discount, no specific cards or exchange scheme needed The iPhone 16 series is currently seeing notable price drops in India, with the iPhone 16 Pro, iPhone 16 Plus and the standard iPhone 16 available at discounts of up to ₹18,000 across major retailers. The deals bring the price of the iPhone 16 Plus down to ar…",iphone pro iphone plus iphone available rs discount specific cards exchange scheme needed iphone series currently seeing notable price drops india iphone pro iphone plus standard iphone available discounts across major retailers deals bring price iphone plus ar,discounts,1.0,Pricing Strategy
Nykaa,BusinessLine,2026-03-13T11:25:25Z,Swiggy and HDFC Bank Elevate Everyday and Travel Rewards with the Launch of Two New Co-branded Credit Cards Swiggy and HDFC Bank Elevate Everyday and Travel Rewards with the Launch of Two New Co-branded Credit Cards,swiggy hdfc bank elevate everyday travel rewards launch two new cobranded credit cards swiggy hdfc bank elevate everyday travel rewards launch two new cobranded credit cards,expansion,1.0,Growth
Nykaa,The Times of India,2026-03-12T16:29:16Z,"India’s Rs 13,000 crore live events market fuelling experiential marketing push: BookMyShow–EY report India live events: The report, titled Beyond Attention. Into Immersion, found that 78% of Indian consumers prefer spending on experiences over products, reflecting a broader shift toward participation-led consumption that is reshaping brand strategies.",indias rs crore live events market fuelling experiential marketing push bookmyshowey report india live events report titled beyond attention immersion found indian consumers prefer spending experiences products reflecting broader shift toward participationled consumption reshaping brand strategies,other,0.8,Misc
Nykaa,GlobeNewswire,2026-03-11T15:37:00Z,"Gift Card Business and Investment Intelligence Report 2026: Market to Reach $865 Billion by 2030 - KPIs on Market Size, Retail & Corporate Spend, Competitive Landscape, and Consumer Demographics Key opportunities in the global gift card market include the integration of gift cards into digital wallets and payment platforms, the shift toward programmable spend tools for corporate and B2B gifting, the consolidation into closed-loop ecosystem strategies…",gift card business investment intelligence report market reach billion kpis market size retail corporate spend competitive landscape consumer demographics key opportunities global gift card market include integration gift cards digital wallets payment platforms shift toward programmable spend tools corporate bb gifting consolidation closedloop ecosystem strategies,funding,1.0,Finance
Nykaa,BusinessLine,2026-03-09T07:28:24Z,"Swiggy, HDFC Bank launch two new co-branded credit cards with up to ₹48,000 annual savings Swiggy and HDFC Bank launch co-branded credit cards offering up to ₹48,000 annual savings, available via their digital platforms.",swiggy hdfc bank launch two new cobranded credit cards annual savings swiggy hdfc bank launch cobranded credit cards offering annual savings available via digital platforms,discounts,1.0,Pricing Strategy
Nykaa,The Times of India,2026-03-09T02:31:49Z,"NMMS admit card expected to be released soon: Check complete details here The State Council of Educational Research and Training (SCERT) will release the NMMS Admit Card 2026 on official portals across states. Essential for entry, the hall ticket includes exam details and candidate information. The NMMS test evaluates mental abilit…",nmms admit card expected released soon check complete details state council educational research training scert release nmms admit card official portals across states essential entry hall ticket includes exam details candidate information nmms test evaluates mental abilit,technology,1.0,Innovation
